unliveingfiend's Deck :
"4","Akroan Skyguard"
"3","Deftblade Elite"
"4","Lagonna-Band Trailblazer"
"4","Seeker of the Way"
"4","Defiant Strike"
"1","Double Cleave"
"3","Emerge Unscathed"
"3","Mutagenic Growth"
"4","Cartouche of Solidarity"
"4","Cho-Manno's Blessing"
"4","Ethereal Armor"
"4","Hyena Umbra"
"16","Plains"
"2","Secluded Steppe"
"60 Cartas ","Sideboard"
"(13)","2"
"Celestial Flare","2"
"Dust to Dust","2"
"Holy Light","2"
"Lifelink","3"
"Sacred Cat","2"
"Standard Bearer",
Dillo17's Deck :
"4","Augur of Bolas"
"4","Delver of Secrets"
"4","Faerie Miscreant"
"4","Spellstutter Sprite"
"4","Spire Golem"
"4","Ponder"
"4","Preordain"
"2","Brainstorm"
"4","Counterspell"
"2","Daze"
"1","Deprive"
"3","Gush"
"4","Vapor Snag"
"16","Island"
"60 Cartas ","Sideboard"
"(15)","2"
"Annul","4"
"Curse of Chains","2"
"Deep Analysis","1"
"Echoing Truth","4"
"Hydroblast","2"
"Stormbound Geist",
bkorbsquare07's Deck :
"4","Delver of Secrets"
"4","Faerie Miscreant"
"4","Ninja of the Deep Hours"
"4","Spellstutter Sprite"
"4","Ponder"
"4","Preordain"
"4","Counterspell"
"4","Daze"
"1","Exclude"
"2","Gush"
"1","Logic Knot"
"4","Snap"
"4","Vapor Snag"
"1","Bonesplitter"
"15","Island"
"60 Cartas ","Sideboard"
"(15)","4"
"Annul","2"
"Dispel","3"
"Gut Shot","4"
"Hydroblast","2"
"Stormbound Geist",
Taviscaron's Deck :
"3","Augur of Bolas"
"4","Delver of Secrets"
"4","Faerie Miscreant"
"4","Ninja of the Deep Hours"
"4","Spellstutter Sprite"
"3","Ponder"
"3","Preordain"
"2","Brainstorm"
"4","Counterspell"
"3","Gush"
"4","Lightning Bolt"
"4","Skred"
"2","Ash Barrens"
"4","Evolving Wilds"
"10","Snow-Covered Island"
"2","Snow-Covered Mountain"
"60 Cartas ","Sideboard"
"(15)","1"
"Aura Flux","1"
"Electrickery","2"
"Hydroblast","3"
"Pyroblast","1"
"Relic of Progenitus","3"
"Smash to Smithereens","2"
"Stormbound Geist","2"
"Swirling Sandstorm",
sakkra's Deck :
"4","Augur of Bolas"
"4","Faerie Miscreant"
"4","Mulldrifter"
"3","Ninja of the Deep Hours"
"4","Spellstutter Sprite"
"4","Flame Slash"
"1","Ponder"
"4","Preordain"
"4","Counterspell"
"2","Dispel"
"1","Harvest Pyre"
"2","Lightning Bolt"
"2","Prohibit"
"4","Izzet Boilerworks"
"1","Lonely Sandbar"
"1","Radiant Fountain"
"8","Snow-Covered Island"
"3","Snow-Covered Mountain"
"4","Swiftwater Cliffs"
"60 Cartas ","Sideboard"
"(15)","1"
"Harvest Pyre","3"
"Curfew","2"
"Electrickery","4"
"Hydroblast","1"
"Magma Spray","4"
"Pyroblast",
